,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
125,Sept-Iles,20,CA,1578602299,42,50.2,-66.38,8.6,8.05
126,Torquay,27,AU,1578602535,88,-25.3,152.85,75.99,6.93
127,Klaksvik,99,FO,1578602538,80,62.23,-6.59,39.2,14.99
128,Hammerfest,90,NO,1578602540,100,70.66,23.68,37.4,28.86
129,Boyolangu,99,ID,1578602542,92,-8.09,111.9,73.44,1.66
130,Pingtung,40,TW,1578602544,88,22.54,120.62,66.2,4.7
131,Oytal,18,KZ,1578602546,82,42.91,73.27,13.95,4.27
132,Azul,0,AR,1578602548,28,-36.78,-59.86,79.0,3.0
133,Sisimiut,67,GL,1578602550,74,66.94,-53.67,-7.71,7.83
134,Tallinn,75,EE,1578602552,100,59.33,24.78,36.0,8.05
135,Chepareria,70,KE,1578602554,44,1.32,35.2,71.04,2.01
136,Tahe,100,CN,1578602556,92,52.34,124.71,-0.76,2.82
137,Zheleznodorozhnyy,75,RU,1578602559,80,55.75,38.0,35.6,6.71
138,Pisco,20,PE,1578602551,30,-13.71,-76.2,72.0,20.8
139,Japura,100,ID,1578602563,97,-0.42,102.29,72.93,1.43
140,Kamari,75,GR,1578602565,61,36.8,25.82,51.01,16.11
141,Ilulissat,75,GL,1578602567,41,69.22,-51.1,3.2,8.05
142,Savannah,40,US,1578602569,51,39.95,-94.76,66.0,28.86
143,Tori-Fatehpur,0,IN,1578602571,74,25.45,79.13,47.53,4.43
144,Sao Miguel do Araguaia,100,BR,1578602573,80,-13.28,-50.16,82.22,3.71
145,Siniscola,0,IT,1578602575,87,40.57,9.69,44.6,6.93
146,Moyale,97,ET,1578602578,40,3.52,39.05,76.71,12.19
147,Tres Arroyos,0,AR,1578602580,23,-38.31,-60.23,77.5,12.95
148,Verin,33,ES,1578602404,79,41.94,-7.44,41.0,1.99
149,La Ronge,90,CA,1578602584,70,55.1,-105.3,-5.8,11.41
150,Astana,90,KZ,1578602586,76,51.13,71.43,-5.8,2.24
151,Bambous Virieux,40,MU,1578602588,73,-20.34,57.76,77.0,5.82
